Artikelnr.,Ordercode,RoHS-compatibel?,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
1,2099455,YES,,1.0,"ECE10US09",XP POWER,"No. of Outputs:1 Output; Output Power Max:10W; Output Voltage - Output 1:9V; Output Current - Output 1:1.11A; Output Voltage - Output 2:-; Output Current - Output 2:-; Output Voltag",27,21.8800,21.88,,
2,2752766,YES,,3.0,"RF3175-000",LITTELFUSE,"Thermistor Mounting:Through Hole; Product Range:PolySwitch LVR Series; Holding Current:1A; Tripping Current:2A; Voltage Rating:240VAC; Operating Temperature Min:-20°C; Operating Temp",192,1.2900,3.87,,
3,1861127,YES,,5.0,"MC36194",MULTICOMP,"Thermistor Mounting:Through Hole; Product Range:MC36 Series; Holding Current:650mA; Tripping Current:1.3A; Voltage Rating:60VDC; Operating Temperature Min:-40°C; Operating Temperature",318,0.1080,0.54,,
4,147410,YES,,3.0,"C282000NAB",ARCOLECTRIC,"Supply Voltage:250V; Lamp Base Type:Quick Connect; Illumination Colour:Amber; Mounting Hole Dia:12mm; Lens Shape:Round with Flat Top; Current Rating:20mA; Product Range:2820 Series; SVHC:No SVHC (1",1698,1.9600,5.88,,
5,2493747,YES,,1.0,"DFK-MC 1,5/ 4-GF-3,81",PHOENIX CONTACT,"Gender:Header; Pitch Spacing:3.81mm; No. of Positions:4Ways; Rated Current:8A; Rated Voltage:160V; Block Orientation:Through Hole Vertical; Product Range:MC; Colour:Green",492,5.4000,5.40,,
6,1792849,YES,,1.0,"MC 1,5/ 4-STF-3,81",PHOENIX CONTACT,"Pitch Spacing:3.81mm; No. of Positions:4Ways; Wire Size AWG Min:28AWG; Wire Size AWG Max:16AWG; Conductor Area CSA:1.5mm²; Wire Connection Method:Screw; Rated Current:8A; Rated Vol",795,4.3800,4.38,,
7,1084678,YES,,1.0,"5501-09SA-02-F1",MULTICOMP,"No. of Contacts:9Contacts; Gender:Receptacle; D Sub Shell Size:DE; Product Range:5501 Series; Connector Body Material:-; Contact Termination Type:Solder; Contact Material:Copper Alloy; Contact Pl",97411,0.4700,0.47,,
8,2112521,YES,,10.0,"D20418-42",CINCH CONNECTIVITY SOLUTIONS,"Product Range:D20418 Series; Screw Length:7.92mm; Thread Size - Metric:-; Thread Size - Imperial:4-40; SVHC:No SVHC (17-Dec-2015)",5722,0.5180,5.18,,
9,2080455,YES,,1.0,"6100.4215",SCHURTER,"Product Range:6100-4 Series; Gender:Plug; Voltage Rating:250VAC; Current Rating:10A; Connector Mounting:Panel Mount; Contact Termination Type:Quick Connect; SVHC:No SVHC (07-Jul-2017); Approva",529,1.3400,1.34,,
10,4272900,YES,,1.0,"1455N1201",HAMMOND,"Enclosure Type:PCB Box; Enclosure Material:Aluminium; External Height - Metric:53mm; External Width - Metric:103mm; External Depth - Metric:120mm; IP Rating:-; Body Colour:Unfinished; NEMA Rating:",91,20.2800,20.28,,

,,,,,,,Subtotaal,69.22
,,,,,,,Totaal aantal goederen,69.22
,,,,,,,Levering,0.00
,,,,,,,BTW,Onbekend
,,,,,,,Totaal,69.22
